record_id,plot_id,species_code,diameter_mm_raw,tree_height_dm_raw,study_height_dm_raw,tree_age_raw,study_age_raw,age_source_code,age_reading_height_cm,survey_date_raw,study_selection_method,canopy_code_raw,ecological_region_code_raw,source_file_sha256
2300830802009,2300830802,EPN,100,67,67,25,25,4,100,2023-08-28T00:00:00.000Z,L,I,5f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2300924103030,2300924103,EPN,103,88,88,99,99,4,100,2023-09-17T00:00:00.000Z,L,C,5e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2300929301069,2300929301,EPN,111,80,80,41,41,4,100,2023-10-04T00:00:00.000Z,L,C,5e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2301002003018,2301002003,EPN,207,152,152,100,100,4,100,2023-08-30T00:00:00.000Z,L,C,5e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2400400204023,2400400204,EPN,155,147,147,142,142,4,100,2024-05-31T00:00:00.000Z,PL,C,6g,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2400411103013,2400411103,EPN,154,150,150,74,74,4,100,2024-06-22T00:00:00.000Z,L,C,6g,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2400418803032,2400418803,EPN,102,84,84,52,52,4,100,2024-06-17T00:00:00.000Z,L,O,6e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2400517604035,2400517604,EPN,102,102,102,31,31,4,100,2024-06-06T00:00:00.000Z,L,C,6e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2400955003041,2400955003,EPN,94,79,79,60,60,4,100,2024-07-20T00:00:00.000Z,L,O,6h,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2400959303018,2400959303,EPN,195,124,124,42,42,4,100,2024-07-20T00:00:00.000Z,PL,C,6h,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2401118602039,2401118602,EPN,109,103,103,54,54,4,100,2024-07-05T00:00:00.000Z,L,I,5d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2500160704002,2500160704,EPN,133,101,101,22,22,6,100,2025-09-07T00:00:00.000Z,L,I,6a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2500169204002,2500169204,EPN,110,88,88,26,26,4,100,2025-06-05T00:00:00.000Z,L,C,6a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
7200700802054,7200700802,EPN,210,166,166,69,69,4,100,2018-07-04T00:00:00.000Z,L,I,5a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
7209500201069,7209500201,EPN,93,100,100,45,45,6,100,2015-08-14T00:00:00.000Z,L,O,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
9500802601001,9500802601,EPN,140,115,115,68,68,3,100,2023-10-28T00:00:00.000Z,R,C,4e,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
9700901602037,9700901602,EPN,214,157,157,78,78,4,100,2020-05-31T00:00:00.000Z,S,C,3b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1700507902027,1700507902,ERR,167,163,163,,,,,2017-09-20T00:00:00.000Z,L,C,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1700609602009,1700609602,ERR,255,147,147,,,,,2017-07-17T00:00:00.000Z,PL,C,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1700705704039,1700705704,ERR,116,116,116,,,,,2017-12-31T00:00:00.000Z,L,I,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1700714202003,1700714202,ERR,336,171,171,,,,100,2017-09-22T00:00:00.000Z,L,D,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1700901603001,1700901603,ERR,268,159,159,,,,,2017-08-25T00:00:00.000Z,L,C,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1700909302041,1700909302,ERR,98,113,113,,,,,2017-08-28T00:00:00.000Z,L,C,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1700911202006,1700911202,ERR,96,135,135,,,,,2017-10-25T00:00:00.000Z,L,C,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1701011303012,1701011303,ERR,99,73,73,,,,,2017-07-02T00:00:00.000Z,L,C,4d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1701212903034,1701212903,ERR,112,122,122,,,,100,2017-10-09T00:00:00.000Z,L,C,4d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1801102702002,1801102702,ERR,92,82,82,,,,100,2018-09-08T00:00:00.000Z,L,I,3d,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900401402045,1900401402,ERR,203,134,134,,,,100,2019-07-16T00:00:00.000Z,L,C,4f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1900716302015,1900716302,ERR,115,101,101,,,,100,2019-07-10T00:00:00.000Z,L,C,4f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1901718302062,1901718302,ERR,129,140,140,,,,100,2019-11-06T00:00:00.000Z,L,C,4f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1902004003086,1902004003,ERR,98,118,118,,,,100,2019-09-18T00:00:00.000Z,L,I,5h,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
1902201303068,1902201303,ERR,143,160,160,,,,100,2019-09-01T00:00:00.000Z,L,C,4f,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2000304901020,2000304901,ERR,259,199,199,,,,100,2020-08-23T00:00:00.000Z,L,C,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2000402704013,2000402704,ERR,124,151,151,,,,100,2020-06-15T00:00:00.000Z,L,I,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2000409103030,2000409103,ERR,99,94,94,,,,100,2020-07-12T00:00:00.000Z,L,C,3a,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
2000600901022,2000600901,ERR,108,123,123,,,,100,2020-06-29T00:00:00.000Z,L,O,4b,a59c96d55cfea48233f6699369f9235f6fe809cc80eb75170201db7345a290da
